"Abundance: F1: Sample, NCL_VEH","Abundance: F2: Sample, NCL_LNA","Abundance: F3: Sample, NCL_ION","Abundance: F4: Sample, CL_VEH","Abundance: F5: Sample, CL_LNA","Abundance: F6: Sample, CL_ION","Abundance: F7: Sample, NCL_VEH","Abundance: F8: Sample, NCL_LNA","Abundance: F9: Sample, NCL_ION","Abundance: F10: Sample, CL_VEH","Abundance: F11: Sample, CL_LNA","Abundance: F12: Sample, CL_ION","Abundance: F13: Sample, NCL_VEH","Abundance: F14: Sample, NCL_LNA","Abundance: F15: Sample, NCL_ION","Abundance: F16: Sample, CL_VEH","Abundance: F17: Sample, CL_LNA","Abundance: F18: Sample, CL_ION"
236868.0469,119159.1406,597942.1494,371705.7813,57458.45313,105985.207,734983.0625,156259.6875,,,791740.8125,6660586.984,346120.6563,92570.70508,25644.5957,315889.7695,,1559902.031
,,,286775.2188,,,190892.3281,91093.50781,,198232.5938,1077252.25,487609.7813,,122967.9297,,1416685.5,,
3071624.586,1155199.25,1112355.825,2079748.375,249529.0234,,1461707.5,3460868.75,4165713.039,250530.2656,893225.5625,339879.2188,1972111.76,230162.127,138902.2656,1384737.75,,480885.7344
513486.7188,662577.4375,897691.8125,,,,,,1077141.375,,,,565109.625,,1027846.188,,,
1162519,2616494,,8170237.75,603590.9375,505688,10911834,1738691.188,800067.6875,1843193.75,10837737,3867358.875,4238703.375,4723254.375,7403101,7594729.25,5541294,14015690.5
4413306.5,14019759,4671616,46641172,10316684.5,4702406,44251458.88,24622597,4144952.75,44348798,80124940,55070712,9398157,28173080,6139050,30752899,4776589.25,17685195.55
,,,408785.2188,,26688.54102,169128.2188,,,250446.6719,350478.2813,,,1928112.5,,5417832.5,,234092.8125
,2649751.25,,3376598.5,1702974.25,551432.75,1201798.5,1270919.375,,5689726.5,4097598,2056418.875,1171938.375,15816167,1935491,32537897.63,572943.6875,1312232.75
,,,22884.80078,,,,,,73714.94531,53985.58594,417973.3438,,,,,,
211954.9844,502941.2695,239792.6094,3797055.5,203336.0938,37797.71094,1368652.125,508922.7188,99291.10156,662746.0625,8892378,786048.375,127233.6016,245981.5781,,1501817.875,113694.1641,457024.5625
